"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","leads_count","purchases_count","revenue","total_cost"
2023-06-01,yandex,cpc,freemium,101,101,25,1654810,21654
2023-06-01,yandex,cpc,prof-frontend,74,74,12,1057000,57138
2023-06-01,yandex,cpc,prof-python,65,65,8,680246,33026
2023-06-01,yandex,cpc,base-python,28,28,7,476021,12524
2023-06-01,vk,cpc,prof-python,72,40,5,355564,2028
2023-06-01,vk,cpc,freemium-frontend,90,44,5,338083,3160
2023-06-01,yandex,cpc,prof-java,49,49,4,284590,29490
2023-06-01,yandex,cpc,base-frontend,41,41,3,268515,18061
2023-06-01,vk,cpc,prof-java,57,24,2,232726,3115
2023-06-01,yandex,cpc,prof-data-analytics,14,14,2,220264,10086
2023-06-01,yandex,cpc,prof-professions-brand,13,13,3,154287,4818
2023-06-20,telegram,cpp,base-java,3,1,1,151192,
2023-06-01,yandex,cpc,dod-php,4,4,1,150255,5964
2023-06-01,yandex,cpc,base-professions-retarget,4,4,1,134100,151
2023-06-25,admitad,cpa,admitad,109,1,1,134100,
